date,close
2023-07-20,39.06
2023-07-21,38.95
2023-07-24,38.78
2023-07-25,38.97
2023-07-26,39.19
2023-07-27,38.58
2023-07-28,38.88
2023-07-31,38.98
2023-08-01,38.58
2023-08-02,38.4
2023-08-03,38.38
2023-08-04,38.51
2023-08-07,38.42
2023-08-08,38.19
2023-08-09,38.005
2023-08-10,37.97
2023-08-11,37.97
2023-08-14,37.86
2023-08-15,37.75
2023-08-16,37.55
2023-08-17,37.48
2023-08-18,37.49
2023-08-21,37.58
2023-08-22,37.64
2023-08-23,38.03
2023-08-24,38.02
2023-08-25,37.97
2023-08-28,38.09
2023-08-29,38.46
2023-08-30,38.56
2023-08-31,38.48
2023-09-01,38.51
2023-09-05,38.2
2023-09-06,38.02
2023-09-07,38.06
2023-09-08,38.07
2023-09-11,38.14
2023-09-12,37.95
2023-09-13,37.86
2023-09-14,37.88
2023-09-15,38.13
2023-09-18,38.36
2023-09-19,38.32
2023-09-20,38.355
2023-09-21,38.08
2023-09-22,38.21
2023-09-25,38.01
2023-09-26,37.69
2023-09-27,37.24
2023-09-28,37.05
2023-09-29,36.66
2023-10-02,36.28
2023-10-03,36.17
2023-10-04,36.18
2023-10-05,36.11
2023-10-06,36.3
2023-10-09,36.97
2023-10-10,36.91
2023-10-11,37.16
2023-10-12,37.06
2023-10-13,38.26
2023-10-16,38.06
2023-10-17,38.14
2023-10-18,38.68
2023-10-19,39.17
2023-10-20,39.26
2023-10-23,39.14
2023-10-24,39.12
2023-10-25,39.29
2023-10-26,39.36
2023-10-27,39.81
2023-10-30,39.58
2023-10-31,39.37
2023-11-01,39.24
2023-11-02,39.39
2023-11-03,39.52
2023-11-06,39.22
2023-11-07,39.05
2023-11-08,38.67
2023-11-09,38.83
2023-11-10,38.4
2023-11-13,38.61
2023-11-14,38.96
2023-11-15,38.87
2023-11-16,39.3
2023-11-17,39.3
2023-11-20,39.22
2023-11-21,39.65
2023-11-22,39.48
2023-11-24,39.7
2023-11-27,39.97
2023-11-28,40.48
2023-11-29,40.56
2023-11-30,40.38
2023-12-01,41.07
2023-12-04,40.19
2023-12-05,40.05
2023-12-06,40.21
2023-12-07,40.25
2023-12-08,39.73
2023-12-11,39.29
2023-12-12,39.27
2023-12-13,40.14
2023-12-14,40.4
2023-12-15,40.02
2023-12-18,40.2
2023-12-19,40.48
2023-12-20,40.26
2023-12-21,40.55
2023-12-22,40.71
2023-12-26,41.03
2023-12-27,41.23
2023-12-28,40.99
2023-12-29,40.91
2024-01-02,40.81
2024-01-03,40.47
2024-01-04,40.52
2024-01-05,40.52
2024-01-08,40.2
2024-01-09,40.23
2024-01-10,40.12
2024-01-11,40.21
2024-01-12,40.61
2024-01-16,40.22
2024-01-17,39.79
2024-01-18,40.1
2024-01-19,40.23
2024-01-22,40.08
2024-01-23,40.22
2024-01-24,39.9
2024-01-25,40.07
2024-01-26,40.04
2024-01-29,40.32
2024-01-30,40.37
2024-01-31,40.34
2024-02-01,40.75
2024-02-02,40.37
2024-02-05,40.16
2024-02-06,40.38
2024-02-07,40.34
2024-02-08,40.32
2024-02-09,40.15
2024-02-12,40.06
2024-02-13,39.51
2024-02-14,39.49
2024-02-15,39.75
2024-02-16,39.9
2024-02-20,40.15
2024-02-21,40.15
2024-02-22,40.14
2024-02-23,40.38
2024-02-26,40.31
2024-02-27,40.25
2024-02-28,40.34
2024-02-29,40.54
2024-03-01,41.3
2024-03-04,41.96
2024-03-05,42.22
2024-03-06,42.56
2024-03-07,42.82
2024-03-08,43.18
2024-03-11,43.26
2024-03-12,42.79
2024-03-13,43.07
2024-03-14,42.9
2024-03-15,42.77
2024-03-18,42.84
2024-03-19,42.79
2024-03-20,43.28
2024-03-21,43.26
2024-03-22,42.91
2024-03-25,43.04
2024-03-26,43.18
2024-03-27,43.5
2024-03-28,44.05
2024-04-01,44.52
2024-04-02,45.16
2024-04-03,45.57
2024-04-04,45.31
2024-04-05,46.06
2024-04-08,46.37
2024-04-09,46.61
2024-04-10,46.18
2024-04-11,47.06
2024-04-12,46.45
2024-04-15,47.31
2024-04-16,47.39
2024-04-17,47.05
2024-04-18,47.19
2024-04-19,47.35
2024-04-22,46.17
2024-04-23,46.04
2024-04-24,45.99
2024-04-25,46.25
2024-04-26,46.38
2024-04-29,46.3
2024-04-30,45.4
2024-05-01,45.8
2024-05-02,45.66
2024-05-03,45.62
2024-05-06,46.09
2024-05-07,45.89
2024-05-08,45.77
2024-05-09,46.47
2024-05-10,46.86
2024-05-13,46.35
2024-05-14,46.72
2024-05-15,47.32
2024-05-16,47.16
2024-05-17,47.92
2024-05-20,48.11
2024-05-21,48.04
2024-05-22,47.16
2024-05-23,46.22
2024-05-24,46.28
2024-05-28,46.74
2024-05-29,46.31
2024-05-30,46.41
2024-05-31,46.13
2024-06-03,46.53
2024-06-04,46.12
2024-06-05,46.67
2024-06-06,47.02
2024-06-07,45.36
2024-06-10,45.77
2024-06-11,45.89
2024-06-12,46.02
2024-06-13,45.64
2024-06-14,46.24
2024-06-17,45.98
2024-06-18,46.18
2024-06-20,46.75
2024-06-21,46.02
2024-06-24,46.22
2024-06-25,45.98
2024-06-26,45.58
2024-06-27,46.08
2024-06-28,46.09
2024-07-01,46.21
2024-07-02,46.2
2024-07-03,46.73
2024-07-05,47.34
2024-07-08,46.77
2024-07-09,46.85
2024-07-10,47.01
2024-07-11,47.85
2024-07-12,47.83
2024-07-15,47.98
2024-07-16,48.94
2024-07-17,48.71
2024-07-18,48.41
2024-07-19,47.55
2024-07-22,47.55
2024-07-23,47.71
2024-07-24,47.54
2024-07-25,46.81
2024-07-26,47.3
2024-07-29,47.24
2024-07-30,47.71
2024-07-31,48.57
2024-08-01,48.4
2024-08-02,48.32
2024-08-05,47.72
2024-08-06,47.33
2024-08-07,47.29
2024-08-08,48.03
2024-08-09,48.15
2024-08-12,48.96
2024-08-13,48.9
2024-08-14,48.49
2024-08-15,48.65
2024-08-16,49.71
2024-08-19,49.66
2024-08-20,49.84
2024-08-21,49.78
2024-08-22,49.2
2024-08-23,49.76
2024-08-26,49.9
2024-08-27,50.04
2024-08-28,49.7
2024-08-29,49.95
2024-08-30,49.59
2024-09-03,49.38
2024-09-04,49.42
2024-09-05,49.83
2024-09-06,49.47
2024-09-09,49.65
2024-09-10,49.88
2024-09-11,49.8
2024-09-12,50.69
2024-09-13,51.19
2024-09-16,51.18
2024-09-17,50.9
2024-09-18,50.52
2024-09-19,51.29
2024-09-20,51.94
2024-09-23,52.05
2024-09-24,52.77
2024-09-25,52.71
2024-09-26,52.97
2024-09-27,52.56
2024-09-30,52.13
2024-10-01,52.69
2024-10-02,52.68
2024-10-03,52.65
2024-10-04,52.54
2024-10-07,52.38
2024-10-08,51.98
2024-10-09,51.7
2024-10-10,52.09
2024-10-11,52.63
2024-10-14,52.57
2024-10-15,52.76
2024-10-16,53.01
2024-10-17,53.34
2024-10-18,53.9
2024-10-21,53.9
2024-10-22,54.47
2024-10-23,53.82
2024-10-24,54.21
2024-10-25,54.35
2024-10-28,54.35
2024-10-29,54.94
2024-10-30,55.23
2024-10-31,54.39
2024-11-01,54.17
2024-11-04,54.24
2024-11-05,54.36
2024-11-06,52.71
2024-11-07,53.57
2024-11-08,53.21
2024-11-11,51.96
2024-11-12,51.52
2024-11-13,51
2024-11-14,50.85
2024-11-15,50.76
2024-11-18,51.72
2024-11-19,52.18
2024-11-20,52.49
2024-11-21,52.93
2024-11-22,53.62
2024-11-25,52.04
2024-11-26,52.14
2024-11-27,52.24
2024-11-29,52.7
2024-12-02,52.25
2024-12-03,52.34
2024-12-04,52.5
2024-12-05,52.13
2024-12-06,52.15
2024-12-09,52.66
2024-12-10,53.34
2024-12-11,53.85
2024-12-12,53.1
2024-12-13,52.46
2024-12-16,52.56
2024-12-17,52.37
2024-12-18,51.37
2024-12-19,51.44
2024-12-20,51.98
2024-12-23,51.73
2024-12-24,51.84
2024-12-26,52.19
2024-12-27,51.81
2024-12-30,51.65
2024-12-31,51.99
2025-01-02,52.69
2025-01-03,52.28
